,Away,Home,local,early_rho,late_rho
0,N.Y. Yankees,Boston,01:35,1.19,1.188
1,N.Y. Yankees,Boston,07:10,1.197,1.202
2,Kansas City,Chi. White Sox,03:40,1.183,1.186
3,Kansas City,Chi. White Sox,07:10,1.188,1.191
4,St. Louis,Baltimore,06:35,1.169,1.175
5,Washington,Pittsburgh,06:35,1.147,1.159
6,Cincinnati,Detroit,06:40,1.179,1.189
7,Atlanta,Philadelphia,06:40,1.169,1.177
8,Texas,Toronto,07:07,1.19,1.198
9,Arizona,N.Y. Mets,07:10,1.172,1.177
10,Miami,Milwaukee,06:40,1.195,1.2
11,Tampa Bay,Minnesota,06:40,1.187,1.2
12,Oakland,Houston,07:10,1.139,1.153
13,Chi. Cubs,Colorado,06:40,0.974,0.986
14,L.A. Angels,Seattle,06:40,1.22,1.222
15,Cleveland,San Francisco,06:45,1.211,1.214
16,San Diego,L.A. Dodgers,07:10,1.142,1.151
