,Away,Home,local,early_rho,late_rho
0,Washington,Pittsburgh,12:35,1.157,1.149
1,Cincinnati,Detroit,01:10,1.178,1.173
2,N.Y. Yankees,Boston,01:35,1.185,1.185
3,N.Y. Yankees,Boston,07:15,1.204,1.212
4,Miami,Milwaukee,01:10,1.187,1.186
5,Arizona,N.Y. Mets,04:10,1.177,1.184
6,Texas,Toronto,07:07,1.203,1.21
7,Tampa Bay,Baltimore,07:15,1.196,1.204
8,Minnesota,Chi. White Sox,06:40,1.189,1.19
9,San Francisco,Colorado,06:40,1.009,1.016
