,Away,Home,local,early_rho,late_rho
0,N.Y. Yankees,Detroit,06:40,1.177,1.186
1,L.A. Angels,Philadelphia,06:40,1.168,1.179
2,Chi. White Sox,Baltimore,07:05,1.168,1.174
3,Washington,Toronto,07:07,1.194,1.198
4,Houston,Boston,07:10,1.204,1.211
5,Texas,N.Y. Mets,07:10,1.171,1.178
6,Cleveland,Minnesota,06:40,1.141,1.152
7,San Diego,St. Louis,06:45,1.165,1.17
8,Milwaukee,Chi. Cubs,07:05,1.175,1.178
9,Pittsburgh,Kansas City,07:10,1.145,1.162
10,Atlanta,Colorado,06:40,0.975,0.988
11,Oakland,Seattle,06:40,1.182,1.2
12,Cincinnati,San Francisco,06:45,1.204,1.21
13,Arizona,L.A. Dodgers,07:10,1.119,1.125
